time/s          ,Ewe/V           ,x_Na            ,SpecCap/mAh/g   ,D/cm^2/s        ,Cycle           
2.1599999885e+04,2.8261805000e+00,7.4500000000e-01,0.0000000000e+00,4.2167967784e-07,   0
2.9700000387e+04,2.8762016000e+00,7.3627478755e-01,1.7930311584e+00,2.7593980989e-09,   0
3.7800000759e+04,2.9091289000e+00,7.2754971246e-01,3.5860340888e+00,8.4166832957e-10,   0
4.5900001174e+04,2.9391544000e+00,7.1882469648e-01,5.3790248737e+00,8.4413424760e-10,   0
5.4000001589e+04,2.9679611000e+00,7.1009953302e-01,7.1720459651e+00,2.7557423242e-09,   0
6.2100002004e+04,2.9981244000e+00,7.0137425841e-01,8.9650898967e+00,1.1091724648e-09,   0
7.0200001307e+04,3.0302615000e+00,6.9264924794e-01,1.0758079548e+01,1.2038172681e-09,   0
7.8299999791e+04,3.0622444000e+00,6.8392439412e-01,1.2551037008e+01,8.2883454262e-11,   0
1.1069999373e+05,3.1705532000e+00,6.4902447968e-01,1.9722969425e+01,1.1266158085e-09,   0
1.1879999221e+05,3.1981413000e+00,6.4029961551e-01,2.1515929012e+01,1.1350327727e-09,   0
1.2689999070e+05,3.2261243000e+00,6.3157456337e-01,2.3308927228e+01,1.1043087859e-09,   0
1.3499999072e+05,3.2541242000e+00,6.2284967016e-01,2.5101892782e+01,1.0929010771e-09,   0
1.4309999239e+05,3.2825534000e+00,6.1412447040e-01,2.6894921332e+01,1.0509263384e-09,   0
1.5119999406e+05,3.3112741000e+00,6.0539954886e-01,2.8687892709e+01,1.1118278652e-10,   0
1.7549999906e+05,3.4062958000e+00,5.7922498968e-01,3.4066764620e+01,1.0950100311e-09,   0
1.8360000073e+05,3.4408193000e+00,5.7050015114e-01,3.5859718940e+01,1.0511075681e-09,   0
1.9170000239e+05,3.4754457000e+00,5.6177533756e-01,3.7652668131e+01,2.9172876266e-09,   0
1.9980000406e+05,3.5103126000e+00,5.5305041433e-01,3.9445639855e+01,1.0222458479e-09,   0
2.0790000573e+05,3.5452137000e+00,5.4432541248e-01,4.1238627736e+01,9.7693298425e-10,   0
2.1600000740e+05,3.5794284000e+00,5.3560030803e-01,4.3031636700e+01,9.5757497625e-10,   0
2.2410000906e+05,3.6133854000e+00,5.2687547420e-01,4.4824590052e+01,8.8093513271e-10,   0
2.3220001073e+05,3.6459005000e+00,5.1815050050e-01,4.6617572148e+01,8.2669907048e-10,   0
2.4030001240e+05,3.6773853000e+00,5.0942572720e-01,4.8410513060e+01,7.9110453784e-10,   0
2.4840001407e+05,3.7081838000e+00,5.0070078874e-01,5.0203487915e+01,7.4867947430e-10,   0
2.5650001573e+05,3.7382095000e+00,4.9197589130e-01,5.1996454339e+01,6.8336049153e-10,   0
2.6460001519e+05,3.7670851000e+00,4.8325082819e-01,5.3789454808e+01,6.5855731470e-10,   0
2.7270000955e+05,3.7954111000e+00,4.7452586649e-01,5.5582434436e+01,5.5772604988e-10,   0
2.8080000392e+05,3.8219347000e+00,4.6580100181e-01,5.7375394127e+01,4.9366639976e-10,   0
2.8889999828e+05,3.8471019000e+00,4.5707610823e-01,5.9168359758e+01,4.3672634661e-10,   0
2.9699999265e+05,3.8710163000e+00,4.4835117928e-01,6.0961332659e+01,3.6023763033e-10,   0
3.0509998701e+05,3.8929389000e+00,4.3962595333e-01,6.2754366590e+01,2.8842160978e-10,   0
3.1319998138e+05,3.9126472000e+00,4.3090088794e-01,6.4547367527e+01,2.2651412859e-10,   0
3.2129997574e+05,3.9304326000e+00,4.2217569991e-01,6.6340393668e+01,1.6546267516e-10,   0
3.2939997011e+05,3.9457114000e+00,4.1345083727e-01,6.8133352941e+01,1.1299077514e-10,   0
3.3749996447e+05,3.9584496000e+00,4.0472588097e-01,6.9926331461e+01,7.9195958836e-11,   0
3.4559995884e+05,3.9692478000e+00,3.9600092542e-01,7.1719309826e+01,5.0707708123e-11,   0
3.5369995320e+05,3.9780548000e+00,3.8727600484e-01,7.3512281005e+01,4.0019118782e-11,   0
3.6179994757e+05,3.9860547000e+00,3.7855146407e-01,7.5305174133e+01,2.9378560345e-11,   0
3.6989994193e+05,3.9930418000e+00,3.6982667748e-01,7.7098117777e+01,2.8184446580e-11,   0
3.7799993630e+05,4.0000291000e+00,3.6110184893e-01,7.8891070044e+01,2.1955788859e-11,   0
3.8609993046e+05,4.0063024000e+00,3.5237685943e-01,8.0684055387e+01,6.8346352967e-11,   0
3.9419992503e+05,4.0176945000e+00,3.4365205250e-01,8.2477003212e+01,7.9327711676e-11,   0
4.0229991939e+05,4.0303812000e+00,3.3492743605e-01,8.4269911892e+01,1.0379139853e-10,   0
4.1039991376e+05,4.0454197000e+00,3.2620264628e-01,8.6062856190e+01,1.1594515892e-10,   0
4.1849990812e+05,4.0620546000e+00,3.1747785355e-01,8.7855801095e+01,1.1499529595e-10,   0
4.2659990249e+05,4.0793424000e+00,3.0875320287e-01,8.9648716810e+01,1.1790692927e-10,   0
4.3469989685e+05,4.0975227000e+00,3.0002830346e-01,9.1441683638e+01,1.0775369143e-10,   0
4.4279989122e+05,4.1151018000e+00,2.9130371165e-01,9.3234587256e+01,7.9379463685e-11,   0
4.5089988538e+05,4.1303034000e+00,2.8257896088e-01,9.5027523539e+01,9.6354028034e-11,   0
4.5899987995e+05,4.1470675000e+00,2.7385418445e-01,9.6820465096e+01,6.2106420589e-11,   0
4.6709987411e+05,4.1607275000e+00,2.6512940274e-01,9.8613407737e+01,9.1167443987e-11,   0
4.7519986868e+05,4.1773505000e+00,2.5640449348e-01,1.0040637659e+02,7.9177796931e-11,   0
4.8329986304e+05,4.1928015000e+00,2.4767960297e-01,1.0219934159e+02,7.3568076370e-11,   0
4.9139985741e+05,4.2073593000e+00,2.3895477336e-01,1.0399229408e+02,6.0978272534e-11,   0
4.9949985177e+05,4.2205267000e+00,2.3023013832e-01,1.0578520658e+02,5.6566028034e-11,   0
5.0759984614e+05,4.2330933000e+00,2.2150561160e-01,1.0757809682e+02,4.5791442951e-11,   0
5.1569984050e+05,4.2444921000e+00,2.1278109514e-01,1.0937098495e+02,4.8085428953e-11,   0
5.2379983487e+05,4.2562003000e+00,2.0405650161e-01,1.1116388892e+02,5.4613142446e-11,   0
5.3189982560e+05,4.2688355000e+00,1.9533180260e-01,1.1295681457e+02,5.6243416245e-11,   0
5.3999981611e+05,4.2819858000e+00,1.8660709373e-01,1.1474974224e+02,6.4444156736e-11,   0
5.4809980661e+05,4.2963548000e+00,1.7788248336e-01,1.1654264967e+02,7.2630959303e-11,   0
5.5619979711e+05,4.3120117000e+00,1.6915769536e-01,1.1833559360e+02,7.6792011334e-11,   0
5.6429978761e+05,4.3288188000e+00,1.6043297372e-01,1.2012852390e+02,1.8694913424e-09,   0
5.8009496411e+05,4.2733335000e+00,1.6435085627e-01,1.1932339904e+02,4.0460374374e-10,   1
5.9539494602e+05,4.2255569000e+00,1.7306925144e-01,1.1753176883e+02,3.3811772545e-10,   1
